,query_sku,rec_sku,price
329,120STTM,FXK3,34.25
330,1210B,SPBS704AR,274.0
331,1210B,PPC710BK,318.0
332,1210B,PPB816A,45.75
333,1210B,1250,67.0
334,1210B,1650,96.0
335,1210B,AWS13,65.0
336,1210B,HSG319,53.5
337,1210B,GSAF1F,27.0
338,1210B,FXK6,42.0
339,1210B,SGDX80BR,219.5
340,124STTMM,224SFFSMFR,690.0
341,124STTMM,211FY,246.0
342,124STTMM,110TMDY,177.5
343,124STTMM,110STMDY,284.0
344,124STTMM,FXK6,42.0
345,124STTMM,106BTMX,160.5
346,124STTMM,SOEXM8,41.0
347,124STTMM,F80,142.0
348,124STTMM,214IMFMYA,266.0
349,124STTMM,206AFXW,256.0
350,1250,EC-USB-C-3A,43.25
351,1250,S9706KRA,51.25
352,1250,SGASA204CR,67.25
353,1250,PPC710BK,318.0
354,1250,TMXK4,27.25
355,1250,OEXM90B,41.0
356,1250,S9704KR,54.25
357,1250,OEXM6B,38.25
358,1250,111TMMDY,224.5
359,1250,HSG319,53.5
360,131A,EC-USB-C-3A,43.25
361,131A,SOEXM9,42.0
362,131A,OEXM6B,38.25
363,131A,B3404B,43.5
364,131A,315SIMMYA,605.0
365,131A,FBST338,43.25
366,131A,SGDX80BR,219.5
367,131A,PPC710BK,318.0
368,131A,SOEXM8,41.0
369,131A,RXFMS606B,376.0
370,131TMPB,212SFSMY,391.0
371,131TMPB,212FSMY,260.0
372,131TMPB,117TMM,495.0
373,131TMPB,S9706KRA,51.25
374,131TMPB,F80,142.0
375,131TMPB,PRH57A,78.75
376,131TMPB,317AMMPC,895.0
377,131TMPB,PPC710BK,318.0
378,131TMPB,S9704KA,52.75
379,131TMPB,SGASA204CR,67.25
380,13ELECTBP14KIT,A127,45.5
381,13ELECTBP14KIT,208CCP,50.5
382,13ELECTBP14KIT,1412A,53.0
383,13ELECTBP14KIT,14V12,92.0
384,13ELECTBP14KIT,A98M,66.5
385,13ELECTBP14KIT,A36A,134.5
386,13ELECTBP14KIT,AWBCG1612,11.85
387,13ELECTBP14KIT,A98A,62.25
388,13ELECTBP14KIT,14V,88.75
389,13ELECTBP14KIT,10SSD,12.55
390,1412A,2006IT,153.0
391,1412A,340SSDP,22.3
392,1412A,A106,50.25
393,1412A,20SSD,15.5
394,1412A,30SSD,18.3
395,1412A,14V12,92.0
396,1412A,1412A,53.0
397,1412A,14V,88.75
398,1412A,208CCP,50.5
399,1412A,A127,45.5
400,144TMPB,FXK6,42.0
401,144TMPB,F80,142.0
402,144TMPB,OEXM90B,41.0
403,144TMPB,OEXM80B,39.75
404,144TMPB,RXFMS606B,376.0
405,144TMPB,OEX10B,39.75
406,144TMPB,224SFFSMFR,690.0
407,144TMPB,SXK5,47.75
408,144TMPB,212SFSMY,391.0
409,144TMPB,212FSMY,260.0
410,14V,2420A,83.75
411,14V,1412A,53.0
412,14V,7031A,45.5
413,14V,14V,88.75
414,14V,10SSD,12.55
415,14V,208CCP,50.5
416,14V,A106,50.25
417,14V,340SSDP,22.3
418,14V,20SSD,15.5
419,14V,2006IT,153.0
420,14V12,1412A,53.0
421,14V12,10SSD,12.55
422,14V12,208CCP,50.5
423,14V12,340SSDP,22.3
424,14V12,14V12,92.0
425,14V12,A106,50.25
426,14V12,2420A,83.75
427,14V12,7031A,45.5
428,14V12,2006IT,153.0
429,14V12,20SSD,15.5
430,1512B,PPC710BK,318.0
431,1512B,PPC20LB,63.5
432,1512B,SW381,56.25
433,1512B,FXK6,42.0
434,1512B,1650,96.0
435,1512B,GSAF1F,27.0
436,1512B,SGASA204CR,67.25
437,1512B,CSA8CR,40.25
438,1512B,BP16B,54.5
439,1512B,212FMY,260.0
440,1650,PPC710BK,318.0
441,1650,GSAF1F,27.0
442,1650,BP16B,54.5
443,1650,SGDX80BR,219.5
444,1650,EC-USB-C-3A,43.25
445,1650,HSG319,53.5
446,1650,FBST338,43.25
447,1650,FXK6,42.0
448,1650,GFAT1E,20.8
449,1650,SGASA204CR,67.25
450,196ACF,110TMDY,177.5
451,196ACF,211FY,246.0
452,196ACF,61CF,58.5
453,196ACF,110STMDY,284.0
454,196ACF,86ACF,59.75
455,196ACF,F80,142.0
456,196ACF,T72,115.5
457,196ACF,EC-USB-C-3A,43.25
458,196ACF,SGDX80BR,219.5
459,196ACF,FXK6,42.0
460,2003LN,TPGDL2000,261.0
461,2003LN,206AFX,236.5
462,2003LN,305ASX,258.0
463,2003LN,KAERNADD6RD,256.0
464,2003LN,313TWMYA,402.0
465,2003LN,BLPTHC87,610.0
466,2003LN,OFSKIT,191.5
467,2003LN,S80A,207.0
468,2003LN,S9704KA,52.75
469,2003LN,112TMMDSY,307.0
470,2004BSKA,RXFMS606B,376.0
471,2004BSKA,EC-USB-C-3A,43.25
472,2004BSKA,HSG319,53.5
473,2004BSKA,OEXM6B,38.25
474,2004BSKA,PPC710BK,318.0
475,2004BSKA,SOEXM710,510.0
476,2004BSKA,FBST338,43.25
477,2004BSKA,FXK3,34.25
478,2004BSKA,SOEXM9,42.0
479,2004BSKA,GAJ12A,66.75
480,2005BSKA,EC-USB-C-3A,43.25
481,2005BSKA,PPC710BK,318.0
482,2005BSKA,SGASA204CR,67.25
483,2005BSKA,PPB816A,45.75
484,2005BSKA,PL400B,235.5
485,2005BSKA,RXFMS606B,376.0
486,2005BSKA,206AFSP,386.0
487,2005BSKA,AWM110DHK,101.5
488,2005BSKA,TR108,23.45
489,2005BSKA,HSG319,53.5
490,2006IT,209FUMY,605.0
491,2006IT,112TMMDSY,307.0
492,2006IT,13ELECTBP14KIT,955.0
493,2006IT,131TMPB,785.0
494,2006IT,208EFTABMY,258.0
495,2006IT,206EFAML,236.25
496,2006IT,110RTSMA,213.0
497,2006IT,208FRDHM,273.0
498,2006IT,206SFSUM,473.0
499,2006IT,2003LN,171.0
500,204FXKLA,305TSKTA,300.0
501,204FXKLA,213AFLEY,294.0
502,204FXKLA,305ASX,258.0
503,204FXKLA,307IPLMY,640.0
504,204FXKLA,106IPTMMA,358.0
505,204FXKLA,207IPSFM,429.0
506,204FXKLA,208AFX,445.0
507,204FXKLA,325SIMM,1265.0
508,204FXKLA,212FSMSY,321.0
509,204FXKLA,112TMMSY,307.0
510,204IMXA,214IMFMYA,266.0
511,204IMXA,214SIMFMYA,396.0
512,204IMXA,PPC710BK,318.0
513,204IMXA,212IMFMSYA,272.0
514,204IMXA,315IMMYA,375.0
515,204IMXA,313SIMA,620.0
516,204IMXA,SOEXM9,42.0
517,204IMXA,315SIMMYA,605.0
518,204IMXA,S9706KRA,51.25
519,204IMXA,EC-USB-C-3A,43.25
520,2050,SPBS704AR,274.0
521,2050,PPB816A,45.75
522,2050,EC-USB-C-3A,43.25
523,2050,PPC710BK,318.0
524,2050,1250,67.0
525,2050,1650,96.0
526,2050,2050,120.5
527,2050,OEXM90B,41.0
528,2050,SOEX40,168.5
529,2050,F80,142.0
530,205IPF,214IMFMYA,266.0
531,205IPF,214SIMFMYA,396.0
532,205IPF,212IMFMSYA,272.0
533,205IPF,CSA8CR,40.25
534,205IPF,311IMYA,296.0
535,205IPF,S9706KRA,51.25
536,205IPF,1650,96.0
537,205IPF,OEX40B,160.0
538,205IPF,212SIMFYA,379.0
539,205IPF,OEX36B,140.5
540,206AFSA,110TMDY,177.5
541,206AFSA,110STMDY,284.0
542,206AFSA,211FY,246.0
543,206AFSA,211SFY,377.0
544,206AFSA,BLPTHC87,610.0
545,206AFSA,212SFSMY,391.0
546,206AFSA,208EPIT,403.0
547,206AFSA,S9706KRA,51.25
548,206AFSA,214SIMFMYA,396.0
549,206AFSA,212FMY,260.0
550,206AFSP,212SFSMY,391.0
551,206AFSP,SGASA204CR,67.25
552,206AFSP,PRH57A,78.75
553,206AFSP,206EAU,205.5
554,206AFSP,PWC6,30.75
555,206AFSP,CSA8CR,40.25
556,206AFSP,PL400B,235.5
557,206AFSP,PPC710BK,318.0
558,206AFSP,F80,142.0
559,206AFSP,S9706KRA,51.25
560,206AFX,224SFFSMFR,690.0
561,206AFX,OEXM80B,39.75
562,206AFX,S9706KRA,51.25
563,206AFX,F80,142.0
564,206AFX,214IMFMYA,266.0
565,206AFX,214SIMFMYA,396.0
566,206AFX,110TMDY,177.5
567,206AFX,222SFFSFR,660.0
568,206AFX,SOEXM8,41.0
569,206AFX,SOEXM9,42.0
570,206AFXW,224SFFSMFR,690.0
571,206AFXW,206AFXW,256.0
572,206AFXW,OEXM80B,39.75
573,206AFXW,106BTMX,160.5
574,206AFXW,SOEXM8,41.0
575,206AFXW,211FY,246.0
576,206AFXW,F80,142.0
577,206AFXW,SOEXM710,510.0
578,206AFXW,106ATMXW,186.0
579,206AFXW,S9706KRA,51.25
580,206EAU,FX80B,179.5
581,206EAU,S9706KRA,51.25
582,206EAU,206EAU,205.5
583,206EAU,TMXK60,28.75
584,206EAU,F80,142.0
585,206EAU,SGT4BR,46.0
586,206EAU,PK23A,25.5
587,206EAU,SGASA204CR,67.25
588,206EAU,S9704KA,52.75
589,206EAU,HBBD24,137.5
590,206EFABL,206EFABL,250.25
591,206EFABL,209EFTXBY,344.0
592,206EFABL,A277,10.6
593,206EFABL,TMUS141A,59.5
594,206EFABL,STX70E,64.5
595,206EFABL,RTD48,198.0
596,206EFABL,SA16E,31.25
597,206EFABL,AEM5530,57.75
598,206EFABL,BB9008,152.0
599,206EFABL,S9706KRA,51.25
600,206EFABLM,SGASA204CR,67.25
601,206EFABLM,S9706KRA,51.25
602,206EFABLM,RTD48,198.0
603,206EFABLM,TW381,56.25
604,206EFABLM,HBFE24,86.25
605,206EFABLM,TW401,61.0
606,206EFABLM,SPBS12AR,61.0
607,206EFABLM,TMUS161A,61.25
608,206EFABLM,RC980,106.5
609,206EFABLM,TMD8,18.2
610,206EFAML,A277,10.6
611,206EFAML,112TMMY,245.0
612,206EFAML,F161,20.75
613,206EFAML,TMD8,18.2
614,206EFAML,206EFABL,250.25
615,206EFAML,S9706KRA,51.25
616,206EFAML,GF22,21.5
617,206EFAML,SGTT110B,161.0
618,206EFAML,SOXRR707A,400.0
619,206EFAML,208FRDHM,273.0
620,206FSUMA,206ESSPKPLG2,417.0
621,206FSUMA,131TMPB,785.0
622,206FSUMA,112TMMSY,307.0
623,206FSUMA,206EFAML,236.25
624,206FSUMA,FHOF80A,193.0
625,206FSUMA,210EFTXRY,407.0
626,206FSUMA,207FHRM,196.0
627,206FSUMA,124STTMM,600.0
628,206FSUMA,2003LN,171.0
629,206FSUMA,112TMMDSY,307.0
630,206SFSUM,307IPLMY,640.0
631,206SFSUM,112TMMSY,307.0
632,206SFSUM,112RTSMA,303.0
633,206SFSUM,PPCSG710,321.0
634,206SFSUM,305ASX,258.0
635,206SFSUM,212FSMSY,321.0
636,206SFSUM,106IPTMMA,358.0
637,206SFSUM,207IMFLE,136.5
638,206SFSUM,FZ80,137.0
639,206SFSUM,325SIMM,1265.0
640,207EFAMY,FXK3,34.25
641,207EFAMY,212FSMY,260.0
642,207EFAMY,FXK6,42.0
643,207EFAMY,SGASA204CR,67.25
644,207EFAMY,SOEXM710,510.0
645,207EFAMY,S9706KRA,51.25
646,207EFAMY,F80,142.0
647,207EFAMY,212SFSMY,391.0
648,207EFAMY,EC-USB-C-3A,43.25
649,207EFAMY,315SIMMYA,605.0
650,207EFTXY,FXK6,42.0
651,207EFTXY,FXK3,34.25
652,207EFTXY,S9706KRA,51.25
653,207EFTXY,212SFSMY,391.0
654,207EFTXY,211SFSY,377.0
655,207EFTXY,112STMMY,355.0
656,207EFTXY,SOEXM710,510.0
657,207EFTXY,F80,142.0
658,207EFTXY,PL400B,235.5
659,207EFTXY,212EFTXY,459.0
660,207FHRM,131TMPB,785.0
661,207FHRM,RXFS605B,296.0
662,207FHRM,VSM807B,350.0
663,207FHRM,FHNF100,204.0
664,207FHRM,EECR5A,585.0
665,207FHRM,110RTSMA,213.0
666,207FHRM,TW481,95.0
667,207FHRM,BTK7A,449.0
668,207FHRM,IPLM17C,90.75
669,207FHRM,OEXSM710B,455.0
