item_sku,rec_sku,category,rec_category
TA27,FHLF80A,Job Specific Tools,Socket and Drive Tools
TA27,SIMM210,Job Specific Tools,Socket and Drive Tools
TA27,SIMM190,Job Specific Tools,Socket and Drive Tools
TA27,SGASA204CR,Job Specific Tools,General Hand Tools
TA27,BLPTHC87,Job Specific Tools,Socket and Drive Tools
TA27,SIMM160A,Job Specific Tools,Socket and Drive Tools
F80MP,FRW10,Socket and Drive Tools,Wrenches
F80MP,PWZ4,Socket and Drive Tools,Pliers
F80MP,86EP,Socket and Drive Tools,Pliers
F80MP,PHP2A,Socket and Drive Tools,Job Specific Tools
F80MP,PPK15,Socket and Drive Tools,General Hand Tools
F80MP,SSDMRT8A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
F80MP,ACT407,Socket and Drive Tools,Job Specific Tools
F80MP,RD8,Socket and Drive Tools,General Hand Tools
F80MP,ADCF8,Socket and Drive Tools,Wrenches
F80MP,FB307RNB,Socket and Drive Tools,General Hand Tools
KRA2422PWZ,KRWT2411,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,KWSN2455AST,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,KWSP2455ABL,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,PG160,Classic Series Tool Storage,Job Specific Tools
KRA2422PWZ,EFPHANNIBALB,Classic Series Tool Storage,Ear And Face Protection
KRA2422PWZ,ACT1370,Classic Series Tool Storage,Fuel and Engine Systems
KRA2422PWZ,KWSP2455AST,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,DB121C,Classic Series Tool Storage,Power Tool Accessories
KRA2422PWZ,KWSN2455ABL,Classic Series Tool Storage,Tool Storage Accessories
KRA2422PWZ,TWM26,Classic Series Tool Storage,Socket and Drive Tools
FM18,AWEF6K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,340SSDP,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,AWMEF8K,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,10SSD,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,PKNC200,Socket and Drive Tools,General Hand Tools
FM18,BHS7A,Socket and Drive Tools,"Screwdrivers, Nut Drivers & Keys"
FM18,EFPHANNIBALB,Socket and Drive Tools,Ear And Face Protection
FM18,1210B,Socket and Drive Tools,"Hammers, Punches, and Chisels"
FM18,SPBS18AR,Socket and Drive Tools,General Hand Tools
FM18,SRPCR3800,Socket and Drive Tools,Pliers
CSSD1G,SGAS102BG,General Hand Tools,Job Specific Tools
CSSD1G,SVTS264,General Hand Tools,Job Specific Tools
CSSD1G,PHP2A,General Hand Tools,Job Specific Tools
CSSD1G,RADKITULTRA,General Hand Tools,Job Specific Tools
CSSD1G,AWPBX10,General Hand Tools,Pliers
CSSD1G,XFR704,General Hand Tools,Wrenches
CSSD1G,AT4124,General Hand Tools,Power Tool Accessories
CSSD1G,PHP3A,General Hand Tools,Job Specific Tools
CSSD1G,PHP1A,General Hand Tools,Job Specific Tools
CSSD1G,HCP48BCF,General Hand Tools,Job Specific Tools
AWCGT7,91ACP,"Screwdrivers, Nut Drivers & Keys",Pliers
AWCGT7,PWCS7ACF,"Screwdrivers, Nut Drivers & Keys",Pliers
AWCGT7,SRPCR4700,"Screwdrivers, Nut Drivers & Keys",Pliers
AWCGT7,SIMM160A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,FU8A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
AWCGT7,SPBS704AR,"Screwdrivers, Nut Drivers & Keys",General Hand Tools
AWCGT7,PPC205A,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
AWCGT7,PPC103A,"Screwdrivers, Nut Drivers & Keys","Hammers, Punches, and Chisels"
AWCGT7,SOEXM710,"Screwdrivers, Nut Drivers & Keys",Wrenches
AWCGT7,FHLF80A,"Screwdrivers, Nut Drivers & Keys",Socket and Drive Tools
BRHC2PK,ECUHD218,Job Specific Tools,"Power Tools, Cordless"
BRHC2PK,REX25C,Job Specific Tools,General Hand Tools
BRHC2PK,MAGMAT,Job Specific Tools,Tool Storage Accessories
BRHC2PK,CSSD1R,Job Specific Tools,General Hand Tools
BRHC2PK,BDGPL300HG,Job Specific Tools,Pliers
BRHC2PK,612AEP,Job Specific Tools,Pliers
BRHC2PK,210FCOMA,Job Specific Tools,Wrenches
BRHC2PK,912AEP,Job Specific Tools,Pliers
BRHC2PK,YA450B,Job Specific Tools,Tool Storage Accessories
BRHC2PK,FMAS,Job Specific Tools,
FMAS,PPC103A,,"Hammers, Punches, and Chisels"
FMAS,ATECH2FR125B,,Electronic Torque Wrenches
FMAS,FX1,,Socket and Drive Tools
FMAS,FXK6,,Socket and Drive Tools
FMAS,SGDP42IRBR,,"Screwdrivers, Nut Drivers & Keys"
FMAS,A2A,,Socket and Drive Tools
FMAS,SPBS12AR,,General Hand Tools
FMAS,SRPCR4700,,Pliers
FMAS,T72,,Socket and Drive Tools
FMAS,SIMM240,,Socket and Drive Tools
